question,human_answer,,response,,rouge1,rouge2,rougeL
What are the primary compounds in coffee?,"Caffeine, chlorogenic acid, cafestol, kahweol, carbohydrates, lipids, nitrogenous compounds, vitamins, and minerals.",12,"Coffee primarily contains caffeine, carbohydrates, lipids, nitrogenous compounds, vitamins, minerals, alkaloids, and phenolic compounds.",14,0.615384615,0.333333333,0.538461538
What is the origin of coffee consumption?,Coffee consumption began in northeast Africa and spread to the Middle East in the 15th century.,16,Coffee consumption probably originated in northeast Africa and spread to the Middle East in the 15th century.,17,0.909090909,0.838709677,0.909090909
How does caffeine affect the nervous system?,"Coffee blocks adenosine receptors, reducing drowsiness and inducing stimulatory effects.",10,"Caffeine stimulates the central nervous system by antagonizing the adenosine receptor, reducing feelings of drowsiness.",15,0.32,0.173913043,0.32
What is the safe caffeine intake for healthy adults?,300 mg/day or 2-3 cups of coffee.,7,The safe caffeine intake for healthy adults is 2–3 cups or 300mg/day.,12,0.434782609,0.19047619,0.260869565
Why should pregnant women limit caffeine intake?,Excessive caffeine may cause spontaneous abortion or fetal growth impairment.,10,Excessive caffeine intake in pregnant women can cause spontaneous abortion or impaired fetal growth.,14,0.75,0.454545455,0.666666667
What antioxidants are found in coffee?,Chlorogenic acid and other phenolic antioxidant compounds.,7,"Coffee contains phenolic antioxidant compounds, with the major one being chlorogenic acid.",12,0.526315789,0.352941176,0.315789474
How does roasting affect coffee’s antioxidant activity?,Medium-roasted coffee has maximum antioxidant activity.,6,"The antioxidant activity of coffee varies according to the degree of roasting, with medium-roasted coffee showing maximum activity.",18,0.461538462,0.25,0.384615385
Which coffee preparation raises cholesterol levels?,Unfiltered coffee increases cholesterol due to diterpenes like cafestol and kahweol.,11,Unfiltered coffee raises cholesterol levels due to its higher concentration of diterpenes.,12,0.52173913,0.19047619,0.52173913
What diseases may coffee help prevent?,"Type 2 diabetes, liver damage, Parkinson's, Alzheimer's, and certain cancers.",10,"Coffee may help prevent type 2 diabetes, liver disease, Parkinson's disease, Alzheimer's disease, and certain types of cancer.",18,0.6875,0.4,0.6875
How does coffee reduce the risk of suicide?,Each cup consumed daily decreases suicide risk by 13%.,9,"The study found a 13% decrease in suicide risk for every cup of coffee consumed daily, but the exact mechanism is unclear.",22,0.451612903,0.137931034,0.193548387
What are coffee's cardiovascular effects?,"Coffee can cause high blood pressure, tachycardia, and occasional arrhythmias.",10,"Coffee can cause tachycardia, high blood pressure, occasional arrhythmia, and potentially a slight decrease in calcium absorption.",17,0.740740741,0.4,0.592592593
What is coffee’s influence on osteoporosis risk?,Excessive consumption slightly decreases calcium absorption; moderation is recommended.,9,"Caffeine can slightly decrease calcium absorption, so limiting coffee to 2-3 cups/day may help reduce osteoporosis risk.",17,0.285714286,0.230769231,0.285714286
What social benefits does coffee offer?,"Coffee promotes social interaction, leisure, and enhances work performance.",9,"Coffee is used for social activity, leisure, and improvement of work performance.",12,0.571428571,0.210526316,0.571428571
How does individual sensitivity to coffee vary?,Genetic variations influence coffee's effects on personal health.,8,Individual sensitivity to coffee varies due to personal single nucleotide polymorphic variants.,12,0.19047619,0,0.19047619
What is the key recommendation for coffee consumption?,Consume in moderation to enjoy its health benefits while avoiding potential risks.,12,The key recommendation for coffee consumption is to consume it in moderation.,12,0.333333333,0.090909091,0.25
